a-profile-name,Ratings,Date_time,Reviews
John,3.0,"December 19, 2013","I enjoy coffee, and enjoy smelling it as it is brewing.  The absence of any smell resembling coffee while brewing or when holding the cup to my lips is extremely odd to me.  The absence of coffee taste, either brewed to regular or strong strength is strange.  Mr Coffee has been making these machines for 300 years, so I would have thought they'd perfected the craft by now.  I bought this based on the overwhelmingly positive reviews, and the price.  I have run through at least 6 cycles of vinegar and water, with each of those cycles followed by 2 fresh water cycles.  Nothing I have done has eliminated the scent of a hot rubber hose.  I have brewed a few pots of a hot liquid with many of the same apparent properties as coffee, but it smells and tastes like water that was run through a hot rubber hose.  I really do not like to give up easily, and am on my 7th cycle.  I am honestly a little hesitant to waste another few scoops of tasty ground beans on this device, but holding out some hope that the awful smell and taste can be neutralized.  One other thing to mention is that the smell is evident when only water is run through the system, the problem is evident by simply sniffing under the cover (after the steam clears).  I don't know if the one I received was made from a different batch, or a substituted rubber hose, or something that otherwise distinguishes this one from the others sold.  I like fresh coffee, but hardly think I am such a snob that I am being overly picky. Just perplexed right now....UPDATE....I found an alternative solution in some obscure corner of the interweb, and it actually worked fabulously.  Somebody suggested rubbing down the interior with alcohol.  He had experimented and concluded that the yucky plastic residue is soluble in vodka. First, I removed the tube that carries the hot water/steam and ran it through the dishwasher.  Then, I wiped down the interior with about a shot of vodka on a paper towel.  I also left a small amount in the bottom of the reservoir overnight to saturate the part of the tube that was inaccessible.  Amazingly, it worked.  I raised my rating from 1 star to 3.  I have not had it long enough to provide a longerm review, and the stink and rotten taste was a major problem that should not be an expected part of a purchase, in my opinion.  But, I am content now."
H. KITE,1.0,"March 7, 2016","I have tried and tried to like this coffee pot. But, it's just awful. The sprayer head sprays over toward the side of the basket, which causes that side of the coffee filter to collapse.  This, in turn, causes all of the grounds to leak out of the coffee filter and to go directly into your  pot of coffee.  This happens 7 times out of 10 when I brew coffee. Often, when I make a full pot of coffee, the water just overflows the entire basket area and I end up with coffee grounds inside of the coffee maker itself.  I returned the first pot I had because of this.  But, the 2nd  one does the exact same thing.  Most recently, after having this pot for 5 months, I broke the glass carafe (I had a Bunn coffee pot for years and years and never broke the glass carafe- this one shatters very easily).  So, I purchased the thermal carafe Mr. Coffee offers for this model.  The thermal carafe worked great the first 2 times I used it.  With the 3rd use, the coffee just pooled all over the top of the carafe and spilled out onto the coffee pot and all over the counters and the floor. I was not able to get the settings to change from ""glass"" to ""thermal"".  I GIVE UP!  I will no longer use this piece of junk.  I've had it for too long to return it.  So, I am just out the money I spent.  Also, believe  the reviews that say this leaves a plastic taste in the coffee- it definitely does!"
Steven Gearhart,2.0,"December 7, 2015","My opinion of this product is very mixed. The pros of this coffee maker are; its nice looks and for the price, makes good coffee. The cons are many. Deceptive marketing tactics on the quantity of coffee this unit makes. Mr. Coffee advertises that this unit will make 12 cups of coffee however it will only hold approximately 52 ounces of water. Either Mr. Coffee doesn't know how many ounces are in a cup or they redefined it to be 4.33 ounces per cup. Even their box shows that they have changed this to 6 ounces for a cup and not the standard 8 ounce per cup.  Aside from deceptive marketing, the clock is a small LCD clock with a gray background and black lettering which is recessed deep into the unit. You have to view this clock straight on or you will not be able to see it. Setting the time and brew times proves to be difficult because of this design. The final problem that I find with this coffee maker is the way they've designed the water reservoir. It traps massive amounts of condensation inside the unit and this concerns me about bacterial growth.. Overall, I would not recommend this coffee maker if other alternative products are available."
TukaFeedback,3.0,"February 11, 2016","Bought this product under 4 months ago, Loved it and the coffee tasted fine.  The best part was having an auto brew schedule.  However, the machine just stopped brewing completely.  Lights come on, but nada.  It won't even try to brew.  I found out by googling that this is a common product problem.  Did everything in the user manually and finally called the help desk.  The auto response system took way too long (4 min) and the  fourth option on their auto response is ""won't brew"" (find that funny).  Then the auto response tells me to clean the coffee maker by brewing it with vinegar.... c'mon guys... it won't brew!!  After 4 minutes, got a prompt to ask for a Representative.  The Representative was AMAZING.  She asked me a few simple questions, and hurray they are shipping me a brand new machine!  The part I feel bad about it filling up a landfill with this old one.  Just a shame it wasn't built with more quality, but I guess I get what I paid for.  Glad Mr. Coffee did well by us, lets hope the new one works better."
ZB,1.0,"October 2, 2015","I purchased this because my old cheap coffee maker had finally given up the ghost. When this arrived, I noticed a very strong plastic odor. I ran water through a few times and then made some tea (I don't drink coffee) with it. The plastic taste of the tea was so bad that I had to pour it out. I've since ran two gallons of vinegar and a bottle of vodka through (each followed by water to flush out the vinegar/vodka) and there is still a faint smell of plastic to it. I'm going to run vinegar through it one more time, followed by water a couple times. If I can still taste plastic in my tea after that, I will return it. Save yourself some trouble and spend a bit more on a better coffee maker. I should have, between the vodka, vinegar, and time invested in trying to get this usable, I could have had a really nice coffee maker.*UPDATE* I was finally able to use this coffee maker for what I bought it for. After three gallons of vinegar, a bottle of vodka, probably 30 total cycles to rinse the vodka or vinegar out, it still smelled like plastic. I ran two cycles of tea each time and poured them out after completion. I then made a pot of tea that finally did not taste like plastic. Be warned, the coffee machine still smells faintly of plastic. I still would not recommend this product. Spend a litlte more money and buy a better coffee maker."
John C.,1.0,"December 14, 2015","I ordered this coffee maker, assuming that it would be an upgrade from any and all of my previous Mr. Coffee makers. In actuality, it is a step backwards, in as much as their designers chose to put Design over Functionality. All of my previous programmable coffee makers had a LIGHTED ANALOG CLOCK and I thought that this one would have a lighted digital clock. Also, the designers failed, when they moved the reservoir water level marker, to the right side of the coffee maker. Now, you must depend on the accuracy of the markings on the decanter as the markings on the reservoir are out of view, It makes a good cup of coffee, but so did my old one's and it did not have the same bulk or shortcomings of this one. Had I realized it's short comings, I would never have made the purchase. I called Mr Coffee about these failures and looked at their web site, only to find that this particular model is NOT shown in their inventory, other than in Red and the suggested lighted models,were not shown either. Partial solution: Keep a flashlight handy, in order to read the digital and adjust settings 11/9/16-Comments justified. 11/9/16-COFFEE MAKER FAILED THIS MORNING.WILL NOT OPERATE IN ANY MODE. PREVIOUS COMMENTS JUSTIFIED. NO SOUR GRAPES. LESS THAN 1 YEAR OLD (Purchased 12/12/15)"
Bret,3.0,"September 26, 2015","I went back and forth over whether to give this two or three stars.  Ultimately decided on three, because it does make coffee at an adequate temperature (even if only barely so) without any huge pains in the neck...and because it is (or should be) commonly understood that a dirt cheap price often comes at the trade-off of quality or other form of consumer satisfaction.  This is no exception.Here are the problems I have experienced:1.  The ""strong brew"" function flat-out Does Not Work.  It worked for a couple of months and then dropped dead.  If I select the strong brew feature, the pot beeps (as though finished) about 10 second into the cycle and then continues under normal brew mode.  This appears to be a very common complaint, and Mr. Coffee is displaying no desire to fix it.  The response, after you filter out all the fluff and read between the lines, is: ""Noted...so just don't use that feature.""2.  As mentioned above, the water heating is only barely sufficient.  Consumer Reports recently dropped this coffee maker from its ""Recommended"" list because of this, and I agree with that decision.  The cup stays plenty warm if you sip it all down immediately (I don't know anyone who does this), but not after 15 minutes in a normal mug.3.  The carafe itself (I have the glass one) spills if you pour too quickly.  This typically isn't a problem while pouring brewed coffee (as I am not dumping it quickly then), but often when I use the clean carafe to pour fresh water into the back of the coffee maker, it spills out (and in excessive quantity, not just a few drops) onto the counter next to the coffee maker.  I can hear your reflexive response...""Just pour more slowly""...and I do, but this is still cheap, bush league stuff.  This is the 21st century...we have the technology available to make carafes that don't spill.Otherwise, it's fine.  ""Good enough"" anyway.  The programmable time brew function (what is called the ""delay"" feature) works well and has never let me down.  Some people have complained that the filter basket does not seat properly when the carafe is inserted, but that's baloney...it's designed that way on purpose.  There has to be weight in the filter basket to compress the spring, and the water that fills it provides more than enough weight to do so.  It may even be designed that way to keep the water in the filter longer and thus extract more coffee from the grounds (then again, the unimpressive water heating & non-functioning strong brew feature certainly counterbalance this design).  It may look weird, but this part (at least in isolation) works just fine.Enough rambling already.  If you buy this, do so because you're on a budget and you don't mind coffee that cools off quickly after it is poured and isn't particularly strong.  Me personally, I like my coffee hot and strong, so I will be replacing this thing some time soon."
Michael Rothberg,4.0,"December 2, 2014","Nice product.  The control panel is a little more complicated than necessary because of some unusual features, but it is intuitive and although I shouldn't say this, you really don't need the manual,  So, here are the pros and cons:PROs- 12 cups - Nice, but make sure you purchase the larger size filters. The smaller 4 cup filters just won't work very well.- Two hour shut off - a must for a coffee make that is designed to keep the java warm for a while. If you forget it, the coffee might not taste very good as the water evaporates, but it won't stay on long enough to crack the carafe or cause a fire.- Brew strength options - I haven't tried this yet and  have always just used a little more coffee to make it stronger, but this feature could save you some money over the long haul - very long haul.- Programmable for a timed start - essential for those of us who like to wake up to the aroma of brewing coffee.CONs- This model comes with a water filter that fits on top of the grinds basket and filters the minerals coming in from the ""showerhead spout."" The manual recommends that the filter be changed monthly.  I have never had a problem with hard water, although I use a water filter on the kitchen sink.  Unless you have really foul water, and then again this might not help, I suggest that this is a totally frivolous feature that is designed to get you to trot out to the store and buy more filter replacements since it is recommended that the filter be changed every 30 brews or monthly..  Fortunately, the coffee maker does not require this.  You can make the coffee without using this filter.- The unit also has a built in sensor that determines whether you are using a glass carafe (provided) or a thermal carafe.  I imagine that the metal skin of the thermal carafe triggers a magnetic switch which prevents the warming tray from going on.  I actually bought this unit because I was unhappy with the Mr. Coffee thermal carafe unit I had been using, since it was more difficult to clean than the glass, and the coffee was never really hot enough.All in all, it's a nice coffee maker, but I think these extra features have to add something to the price.  I can't help but wonder how much less it would have cost without the water filter and the carafe sensor.Since both of these features are optional, I was tempted to give the unit FIVE stars, but I feel a little annoyed that the manufacturer is trying to put something over on us. Just my opinion.  As John Galt says, ""Value for value.""  If the price is acceptable to you, then it's FIVE stars.Get the bagels and coffee cake ready.  Breakfast is served."
ArmyVet62,4.0,"June 3, 2020",I have purchased this coffee maker twice. First on December 2013 and it worked great. Lasted until March 2019 and It was fine for the first 8 months but I've had problems with it for the last 6 months or so. I've cleaned it twice but still problems. I was about to purchase another one until I saw that I've only had it 14 months so I will not be purchasing. The problem with this item is the basket. The spring which allows the coffee to flow into the pot is not working properly. I don't really want to blame Amazon for this but now I am going to need to get a replacement basket directly from the manufacturer and this coffee maker wasn't exactly cheap 😟
Ann Emerick,3.0,"June 28, 2021","The coffee maker was used and  listed as like new, chrome front was badly stained and will not come clean. Disappointed as it was not that much off regular price. works fine, except it beeps as coffee starting to brew, not when it is finished brewing.  This is not a problem for us, however again it was listed as like new. It Replaced the same brand/style so we knew what to expect. Makes good coffee. I took off 2 stars for the misinformation on purchase."
